x=-315, y=0371, z=0282
x=-317, y=0370, z=0282
x=-315, y=0371, z=0280
x=-322, y=0371, z=0282
x=-319, y=0371, z=0286
x=-319, y=0375, z=0280
x=-320, y=0374, z=0279
x=-318, y=0373, z=0283
x=-318, y=0375, z=0282
x=-319, y=0373, z=0284
x=-317, y=0373, z=0280
x=-316, y=0373, z=0285
x=-316, y=0371, z=0280
x=-316, y=0376, z=0283
x=-318, y=0374, z=0282
x=-319, y=0376, z=0280
x=-318, y=0374, z=0280
x=-319, y=0373, z=0280
x=-321, y=0376, z=0278
x=-321, y=0376, z=0278
x=-321, y=0368, z=0288
x=-322, y=0369, z=0282
x=-322, y=0369, z=0282
x=-323, y=0366, z=0281
x=-322, y=0366, z=0286
x=-321, y=0366, z=0283
x=-319, y=0366, z=0285
x=-319, y=0366, z=0285
x=-323, y=0366, z=0281
x=-321, y=0367, z=0285
x=-321, y=0367, z=0285
x=-322, y=0364, z=0285
x=-321, y=0362, z=0285
x=-317, y=0362, z=0286
x=-318, y=0366, z=0284
x=-317, y=0365, z=0286
x=-318, y=0368, z=0283
x=-319, y=0367, z=0284
x=-322, y=0369, z=0289
x=-322, y=0365, z=0285
x=-319, y=0365, z=0285
x=-317, y=0367, z=0283
x=-319, y=0367, z=0284
x=-325, y=0367, z=0283
x=-318, y=0367, z=0286
x=-318, y=0365, z=0287
x=-317, y=0366, z=0286
x=-319, y=0368, z=0284
x=-320, y=0366, z=0286
x=-317, y=0368, z=0286
x=-317, y=0366, z=0291
x=-316, y=0358, z=0292
x=-317, y=0363, z=0291
x=-317, y=0367, z=0287
x=-313, y=0366, z=0288
x=-315, y=0366, z=0285
x=-321, y=0365, z=0288
x=-321, y=0364, z=0283
x=-317, y=0365, z=0284
x=-319, y=0368, z=0282
x=-330, y=0365, z=0278
x=-370, y=0374, z=0245
x=-413, y=0373, z=0195
x=-455, y=0375, z=0131
x=-479, y=0375, z=0070
x=-496, y=0382, z=0016
x=-506, y=0380, z=-066
x=-496, y=0380, z=-129
x=-496, y=0380, z=-129
x=-468, y=0376, z=-231
x=-447, y=0376, z=-283
x=-447, y=0376, z=-283
x=-386, y=0376, z=-363
x=-335, y=0369, z=-414
x=-290, y=0371, z=-444
x=-250, y=0368, z=-465
x=-250, y=0368, z=-465
x=-184, y=0369, z=-495
x=-319, y=0371, z=-430
